,Column_names,Question number
1,0. Gender,1
2,1. Age,0
3,2. Country,2
4,3. state,3
5,4. Are you self-employed?,4
6,5. Do you have a family history of mental illness?,5
7,5. Have you sought treatment for a mental health condition?,5
8,6. How many employees does your company or organization have?,6
9,6. Do you work remotely (outside of an office) at least 50% of the time?,6
10,7. Is your employer primarily a tech company/organization?,7
11,7. Does your employer provide mental health benefits?,7
12,8. Do you know the options for mental health care your employer provides?,8
13,8. Has your employer ever discussedmental health as part of an employee wellness program?,8
14,9. Does your employer provide resources to learn more about mental health issues and how to seek help?,9
15,10. Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources?,10
16,11. How easy is it for you to take medical leave for a mental health condition?,11
17,12. Do you think that discussing a mental health issue with your employer would have negative consequences?,12
18,13. Do you think that discussing a physical health issue with your employer would have negative consequences?,13
19,14. Would you be willing to discuss a mental health issue with your coworkers?,14
20,14. Would you be willing to discuss a mental health issue with your direct supervisor(s)?,14
21,15. Do you feel that your employer takes mental health as seriously as physical health?,15
22,15. Have you heard of or observed negative consequences for coworkers with mental health conditions in your workplace?,15
23,16. Would you bring up a mental health issue with a potential employer in an interview?,16
24,16. Would you bring up a physical health issue with a potential employer in an interview?,16
25,17. Mental_Health,17
26,"18. If you have a mental health condition, do you feel that it interferes with your work?",18
27,19. comments,19
